date,num
2020-02-01,1
2020-02-02,2
2020-02-03,3
2020-02-04,4
2020-02-05,5
2020-02-06,6
2020-02-07,7
2020-02-08,8
2020-02-09,9
2020-02-10,10
2020-02-11,11
2020-02-12,12
2020-02-13,13
2020-02-14,14
2020-02-15,15
2020-02-16,16
2020-02-17,17
2020-02-18,18
2020-02-19,19
2020-02-20,20
2020-02-21,21
2020-02-22,22
2020-02-23,23
2020-02-24,24
2020-02-25,25
2020-02-26,26
2020-02-27,27
2020-02-28,28
2020-02-29,29
2020-03-01,30
2020-03-02,31
2020-03-03,32
2020-03-04,33
2020-03-05,34
2020-03-06,35
2020-03-07,36
2020-03-08,37
2020-03-09,38
2020-03-10,39
2020-03-11,40
2020-03-12,41
2020-03-13,42
2020-03-14,43
2020-03-15,44
2020-03-16,45
2020-03-17,46
2020-03-18,47
2020-03-19,48
2020-03-20,49
2020-03-21,50
2020-03-22,51
2020-03-23,52
2020-03-24,53
2020-03-25,54
2020-03-26,55
2020-03-27,56
2020-03-28,57
2020-03-29,58
2020-03-30,59
2020-03-31,60
2020-04-01,61
2020-04-02,62
2020-04-03,63
2020-04-04,64
2020-04-05,65
2020-04-06,66
2020-04-07,67
2020-04-08,68
2020-04-09,69
2020-04-10,70
2020-04-11,71
2020-04-12,72
2020-04-13,73
2020-04-14,74
2020-04-15,75
2020-04-16,76
2020-04-17,77
2020-04-18,78
2020-04-19,79
2020-04-20,80
2020-04-21,81
2020-04-22,82
2020-04-23,83
2020-04-24,84
2020-04-25,85
2020-04-26,86
2020-04-27,87
2020-04-28,88
2020-04-29,89
2020-04-30,90
2020-05-01,91
2020-05-02,92
2020-05-03,93
2020-05-04,94
2020-05-05,95
2020-05-06,96
2020-05-07,97
2020-05-08,98
2020-05-09,99
2020-05-10,100
2020-05-11,101
2020-05-12,102
2020-05-13,103
2020-05-14,104
2020-05-15,105
2020-05-16,106
2020-05-17,107
2020-05-18,108
2020-05-19,109
2020-05-20,110
2020-05-21,111
2020-05-22,112
2020-05-23,113
2020-05-24,114
2020-05-25,115
2020-05-26,116
2020-05-27,117
2020-05-28,118
2020-05-29,119
2020-05-30,120
2020-05-31,121
2020-06-01,122
2020-06-02,123
2020-06-03,124
2020-06-04,125
2020-06-05,126
2020-06-06,127
2020-06-07,128
2020-06-08,129
2020-06-09,130
2020-06-10,131
2020-06-11,132
2020-06-12,133
2020-06-13,134
2020-06-14,135
2020-06-15,136
2020-06-16,137
2020-06-17,138
2020-06-18,139
2020-06-19,140
2020-06-20,141
2020-06-21,142
2020-06-22,143
2020-06-23,144
2020-06-24,145
2020-06-25,146
2020-06-26,147
2020-06-27,148
2020-06-28,149
2020-06-29,150
2020-06-30,151
2020-07-01,152
2020-07-02,153
2020-07-03,154
2020-07-04,155
2020-07-05,156
2020-07-06,157
2020-07-07,158
2020-07-08,159
2020-07-09,160
2020-07-10,161
2020-07-11,162
2020-07-12,163
2020-07-13,164
2020-07-14,165
2020-07-15,166
2020-07-16,167
2020-07-17,168
2020-07-18,169
2020-07-19,170
2020-07-20,171
2020-07-21,172
2020-07-22,173
2020-07-23,174
2020-07-24,175
2020-07-25,176
2020-07-26,177
2020-07-27,178
2020-07-28,179
2020-07-29,180
2020-07-30,181
2020-07-31,182
2020-08-01,183
2020-08-02,184
2020-08-03,185
2020-08-04,186
2020-08-05,187
2020-08-06,188
2020-08-07,189
2020-08-08,190
2020-08-09,191
2020-08-10,192
2020-08-11,193
2020-08-12,194
2020-08-13,195
2020-08-14,196
2020-08-15,197
2020-08-16,198
2020-08-17,199
2020-08-18,200
2020-08-19,201
2020-08-20,202
2020-08-21,203
2020-08-22,204
2020-08-23,205
2020-08-24,206
2020-08-25,207
2020-08-26,208
2020-08-27,209
2020-08-28,210
2020-08-29,211
2020-08-30,212
2020-08-31,213
2020-09-01,214
2020-09-02,215
2020-09-03,216
2020-09-04,217
